group,n,qhat
100y-1ky,180,0.0011386600190307094
10y-100y,2700,0.000666981499639328
1d-1y,1800,0.0059516565388748055
1ky-10ky,180,0.0011387171379075233
1y-10y,16920,0.020636833802616272
>10ky,180,0.0011387260506434975
