group,n,qhat
100y-1ky,180,0.00010421643054195177
10y-100y,2700,0.00010401566106353903
1d-1y,1800,2.1646242402300146e-06
1ky-10ky,180,0.00010421643054195177
1y-10y,16920,5.700865501067514e-05
>10ky,180,0.00010421643054195177
