time_years,n,mae_raw,median_abs_log10_ratio,q90_abs_log10_ratio,frac_within_2x,frac_within_5x,frac_within_10x,coverage_90_cal
0.1,44,3579910153425268.5,2.992634921860521e-08,3.5735511981095243e-08,1.0,1.0,1.0,1.0
0.2,44,3579910153425268.5,2.992634921860521e-08,3.5735511981095243e-08,1.0,1.0,1.0,1.0
0.3,44,3579910153425268.5,2.992634921860521e-08,3.5735511981095243e-08,1.0,1.0,1.0,1.0
0.4,44,3579910153425268.5,2.992634921860521e-08,3.5735511981095243e-08,1.0,1.0,1.0,1.0
0.5,44,3579910153425268.5,2.992634921860521e-08,3.5735511981095243e-08,1.0,1.0,1.0,1.0
0.6,44,3579910153425268.5,2.992634921860521e-08,3.5735511981095243e-08,1.0,1.0,1.0,1.0
0.7,44,5696918271486138.0,2.992634921860521e-08,3.5735511981095243e-08,1.0,1.0,1.0,1.0
0.8,44,3659948983868695.5,2.992634921860521e-08,3.5735511981095243e-08,1.0,1.0,1.0,1.0
0.9,44,1.00109735431909e+16,2.992634921860521e-08,7.360401763730015e-08,1.0,1.0,1.0,1.0
1.0,44,1.59074520392246e+16,2.992634921860521e-08,7.99949350019491e-07,1.0,1.0,1.0,1.0
1.0997527397260274,44,2.720914629255019e+16,2.265033103661223e-07,4.357909761665651e-07,1.0,1.0,1.0,0.4318181818181818
1.1998212328767124,44,2.5788922901656668e+16,2.0488105313774368e-07,4.1614470647692454e-07,1.0,1.0,1.0,0.5227272727272727
1.2998897260273972,44,2.635899061641961e+16,2.4410656619509373e-07,4.137333999791457e-07,1.0,1.0,1.0,0.6136363636363636
1.3999582191780822,44,1.537289490454044e+16,4.897614862020174e-08,3.966640592664152e-07,1.0,1.0,1.0,0.75
1.5000267123287672,44,1.0693381376752174e+16,7.319445531667221e-09,3.7443916989784985e-07,1.0,1.0,1.0,0.8409090909090909
1.600095205479452,44,9243679421580754.0,7.319445531667221e-09,3.5560937854206875e-07,1.0,1.0,1.0,0.8636363636363636
1.700163698630137,44,1.1615425990515992e+16,1.0623437318478855e-08,3.860243008098723e-07,1.0,1.0,1.0,0.8863636363636364
1.800232191780822,44,1.2659085443381806e+16,3.711412515684692e-08,4.266980538753547e-07,1.0,1.0,1.0,0.9090909090909091
1.9003006849315067,44,1.1846564434197038e+16,5.631505749155632e-08,2.552091849027698e-07,1.0,1.0,1.0,0.9772727272727273
2.000369178082192,44,1.617090365696484e+16,1.1573606043731499e-07,3.704126745495711e-07,1.0,1.0,1.0,1.0
2.1004376712328767,44,1.7980219721014552e+16,1.1056614046785263e-07,4.3947233410941405e-07,1.0,1.0,1.0,1.0
2.1995054794520548,44,2.028282414080745e+16,1.3150710941383257e-07,3.500174931303324e-07,1.0,1.0,1.0,1.0
2.29957397260274,44,1.903320499110186e+16,1.3150710941383257e-07,3.459145053619768e-07,1.0,1.0,1.0,1.0
2.3996424657534248,44,2.2541213309218444e+16,2.037777163772292e-07,3.90325596068304e-07,1.0,1.0,1.0,1.0
2.4997109589041093,44,2.2413609861930264e+16,2.0440059507013056e-07,4.0222446403349963e-07,1.0,1.0,1.0,1.0
2.5997794520547943,44,2.3998118708498804e+16,2.0440059507013056e-07,4.2913673864256016e-07,1.0,1.0,1.0,1.0
2.6998479452054798,30,2.5188405426694828e+16,2.0740137454945698e-07,4.923777592065124e-07,1.0,1.0,1.0,1.0
2.69984794520548,14,2.2327179080480476e+16,1.6159341641688432e-07,4.0097207756223865e-07,1.0,1.0,1.0,1.0
2.7999164383561643,44,2.105249643602665e+16,1.4114885568563904e-07,3.719806475673146e-07,1.0,1.0,1.0,1.0
2.8999849315068493,44,2.1877865061262056e+16,1.4114885568563904e-07,4.2137138188399207e-07,1.0,1.0,1.0,1.0
3.0000534246575343,44,1.9744941695947124e+16,1.650077698449542e-07,3.189190486882018e-07,1.0,1.0,1.0,1.0
3.100121917808219,44,2.0762607124599156e+16,1.6914496115180973e-07,3.293621312803433e-07,1.0,1.0,1.0,1.0
3.200190410958904,44,2.7328653341943996e+16,2.0909305829732156e-07,5.727110311985102e-07,1.0,1.0,1.0,1.0
3.300258904109589,44,2.739323590972658e+16,2.1116847352572902e-07,5.215109509353002e-07,1.0,1.0,1.0,1.0
3.400327397260274,44,3.071014502423831e+16,2.6508216062858505e-07,4.616150843403846e-07,1.0,1.0,1.0,1.0
3.500395890410959,44,3.057253726776078e+16,2.52064675323149e-07,4.872161155491267e-07,1.0,1.0,1.0,1.0
3.600464383561644,44,3.5215410654895384e+16,2.6869546113095364e-07,5.540100798589451e-07,1.0,1.0,1.0,1.0
3.699532191780822,44,3.386493315956438e+16,2.761344388450063e-07,5.87282432204644e-07,1.0,1.0,1.0,1.0
3.799600684931507,44,3.045129865772758e+16,2.450677879865355e-07,4.6481542023805656e-07,1.0,1.0,1.0,1.0
3.899669178082192,44,2.6882799153327756e+16,2.161035791865885e-07,4.619837635223455e-07,1.0,1.0,1.0,1.0
3.999737671232877,44,2.4414987787555188e+16,1.8481508594109526e-07,4.6406261612535696e-07,1.0,1.0,1.0,1.0
4.099806164383562,44,2.540106435116758e+16,1.6260077281466568e-07,4.71042915852663e-07,1.0,1.0,1.0,0.9772727272727273
4.199874657534247,44,2.7048949113064356e+16,2.0928989768881946e-07,4.917433416248925e-07,1.0,1.0,1.0,0.9772727272727273
4.299943150684931,44,3.417661744763848e+16,2.560772510296602e-07,5.853876480636472e-07,1.0,1.0,1.0,0.9772727272727273
4.400011643835617,44,3.840497784078634e+16,2.7719572187775e-07,6.978349805828449e-07,1.0,1.0,1.0,0.9772727272727273
4.500080136986301,44,3.7608675254015816e+16,2.609544242887142e-07,6.598975973304328e-07,1.0,1.0,1.0,0.9772727272727273
4.600148630136987,44,2.8530470724853016e+16,2.0761851276538215e-07,4.880208281350819e-07,1.0,1.0,1.0,0.9772727272727273
4.700217123287671,44,2.8378308217214788e+16,2.225630826022658e-07,4.911499658463323e-07,1.0,1.0,1.0,0.9772727272727273
4.800285616438356,44,2.6527986372908868e+16,2.2462524386674576e-07,4.73119476733371e-07,1.0,1.0,1.0,0.9772727272727273
4.900354109589042,44,2.960497574021455e+16,2.5244379103475523e-07,4.73293983821162e-07,1.0,1.0,1.0,0.9772727272727273
5.000422602739726,44,3.0497967434724444e+16,2.609903081452581e-07,5.13802644623853e-07,1.0,1.0,1.0,0.9772727272727273
5.100491095890412,44,2.815132370430734e+16,2.2020093716759008e-07,5.709136288420143e-07,1.0,1.0,1.0,0.9772727272727273
5.199558904109589,44,3.1067519960648612e+16,1.9254751984111522e-07,5.936281235976769e-07,1.0,1.0,1.0,0.9545454545454546
5.299627397260274,44,3.0748070254644132e+16,2.405526846492826e-07,4.5798328326986933e-07,1.0,1.0,1.0,0.9545454545454546
5.399695890410959,44,3.4882621957543748e+16,2.3739336320975512e-07,5.606554333710984e-07,1.0,1.0,1.0,0.9772727272727273
5.499764383561644,44,3.303999530822414e+16,2.5373511572904963e-07,5.518958363559668e-07,1.0,1.0,1.0,0.9772727272727273
5.599832876712329,44,3.1779896783202492e+16,2.5888194803435775e-07,4.89041311051315e-07,1.0,1.0,1.0,0.9772727272727273
5.699901369863014,44,3.8705004849993544e+16,3.1589386618784216e-07,6.539503553431919e-07,1.0,1.0,1.0,0.9545454545454546
5.799969863013699,44,3.797435256563302e+16,3.014700406482092e-07,7.496519254412481e-07,1.0,1.0,1.0,0.9545454545454546
5.900038356164384,44,3.691659469616221e+16,3.087091588212779e-07,7.082350894159762e-07,1.0,1.0,1.0,0.9545454545454546
6.000106849315069,44,3.902072828103587e+16,3.1150348476145693e-07,6.876220321043705e-07,1.0,1.0,1.0,0.9318181818181818
6.100175342465754,44,3.674444359470582e+16,3.2633980677166155e-07,5.325424170857e-07,1.0,1.0,1.0,0.9772727272727273
6.200243835616438,44,4.017475602555029e+16,2.5927149025635137e-07,6.82389016809193e-07,1.0,1.0,1.0,0.9545454545454546
6.300312328767123,44,3.7590043808092536e+16,2.8109126057792386e-07,6.466533908071908e-07,1.0,1.0,1.0,0.9545454545454546
6.400380821917808,44,3.6544490573588664e+16,2.8242356658116755e-07,6.497269455968147e-07,1.0,1.0,1.0,0.9545454545454546
6.500449315068493,44,4.015050160474447e+16,3.068620630553357e-07,6.960443836509591e-07,1.0,1.0,1.0,0.9318181818181818
6.599517123287671,44,4.272559741788011e+16,3.4760161643112696e-07,7.480926221256903e-07,1.0,1.0,1.0,0.9545454545454546
6.699585616438356,44,4.059868772324296e+16,2.9652272014760833e-07,7.53454990649547e-07,1.0,1.0,1.0,0.9318181818181818
6.799654109589041,44,4.373782384716856e+16,3.2791925310757226e-07,8.083783013726453e-07,1.0,1.0,1.0,0.9090909090909091
6.899722602739726,44,3.962375234063862e+16,1.903364180372122e-07,7.77524291037087e-07,1.0,1.0,1.0,0.9318181818181818
6.999791095890411,44,3.989692846917074e+16,1.5186739015855433e-07,7.77524291037087e-07,1.0,1.0,1.0,0.9772727272727273
7.099859589041096,44,3.4956397071969932e+16,1.672575260114873e-07,7.158456165236731e-07,1.0,1.0,1.0,0.9545454545454546
7.199928082191781,44,3.769154019391153e+16,2.068840620066838e-07,7.431357737375991e-07,1.0,1.0,1.0,0.9545454545454546
7.299996575342465,44,4.281104684081003e+16,3.515674204984613e-07,7.292447634459716e-07,1.0,1.0,1.0,0.9090909090909091
7.40006506849315,44,4.554097948927888e+16,3.9902794497650876e-07,7.282843865394497e-07,1.0,1.0,1.0,0.8863636363636364
7.500133561643835,44,4.11833363143423e+16,3.371492273872095e-07,7.025780365436127e-07,1.0,1.0,1.0,0.8863636363636364
7.60020205479452,44,3.882211545691527e+16,2.9622175917062967e-07,7.281271940963708e-07,1.0,1.0,1.0,0.8863636363636364
7.700270547945205,44,4.107005862504038e+16,1.919564767602925e-07,1.0045246687786547e-06,1.0,1.0,1.0,0.9318181818181818
7.80033904109589,44,4.8141945293433016e+16,3.271740705362772e-07,1.0044764917651071e-06,1.0,1.0,1.0,0.9318181818181818
7.900407534246575,44,5.00317874059048e+16,3.271740705362772e-07,9.183459508594347e-07,1.0,1.0,1.0,0.9090909090909091
8.00047602739726,44,4.751597943933561e+16,3.271740705362772e-07,8.728979523192871e-07,1.0,1.0,1.0,0.9090909090909091
8.099543835616439,44,4.82669244684221e+16,3.8781099717684083e-07,7.697614355505395e-07,1.0,1.0,1.0,0.9318181818181818
8.199612328767124,44,5.1793445657581384e+16,3.5571186375151006e-07,8.496990083281836e-07,1.0,1.0,1.0,0.9318181818181818
8.299680821917809,44,5.616655887632719e+16,4.118267531895799e-07,1.0360231048941463e-06,1.0,1.0,1.0,0.9090909090909091
8.399749315068494,44,5.278579303263884e+16,3.99998514332383e-07,8.905105903191403e-07,1.0,1.0,1.0,0.9090909090909091
8.499817808219179,44,5.377425003936005e+16,3.6330614387306367e-07,9.276477360460117e-07,1.0,1.0,1.0,0.9318181818181818
8.599886301369862,44,5.135899294676359e+16,3.356136277368492e-07,9.796534414081294e-07,1.0,1.0,1.0,0.9090909090909091
8.699954794520549,44,5.5089614836584824e+16,3.766129592558585e-07,9.010036853097921e-07,1.0,1.0,1.0,0.9090909090909091
8.800023287671234,44,5.450024134124861e+16,3.778205113401805e-07,9.000626140689085e-07,1.0,1.0,1.0,0.9318181818181818
8.900091780821917,44,5.463562610440453e+16,4.0155140004832555e-07,8.291858517996147e-07,1.0,1.0,1.0,0.9090909090909091
9.000160273972602,44,5.8310158418849416e+16,4.4476687750811593e-07,8.881680333690541e-07,1.0,1.0,1.0,0.9545454545454546
9.100228767123289,44,5.5704694297436904e+16,3.646292730052809e-07,1.0563082546180474e-06,1.0,1.0,1.0,0.9318181818181818
9.200297260273974,44,5.6190786090589464e+16,3.9931077085639015e-07,9.63936823712037e-07,1.0,1.0,1.0,0.9318181818181818
9.30036575342466,44,6.040476682608491e+16,4.112802586189735e-07,1.1502366215775145e-06,1.0,1.0,1.0,0.9318181818181818
9.400434246575342,44,6.265881281062502e+16,4.666491016675098e-07,8.861800733960141e-07,1.0,1.0,1.0,0.9318181818181818
9.49950205479452,44,5.5495677571831624e+16,3.88673636578672e-07,9.445181501809097e-07,1.0,1.0,1.0,0.8863636363636364
9.599570547945206,44,5.485364803406159e+16,2.9690847229960534e-07,1.0026083415638434e-06,1.0,1.0,1.0,0.8863636363636364
9.69963904109589,44,5.700542222036322e+16,4.329801183414607e-07,1.022063753778128e-06,1.0,1.0,1.0,0.9090909090909091
9.799707534246576,44,5.207341515350165e+16,2.001952616875094e-07,9.676938992981421e-07,1.0,1.0,1.0,0.9090909090909091
9.89977602739726,44,6.281067884083461e+16,4.325020921516585e-07,1.0186515465205999e-06,1.0,1.0,1.0,0.8863636363636364
9.999844520547946,44,6.042157179827293e+16,4.1467440792403845e-07,9.942244363365263e-07,1.0,1.0,1.0,0.8636363636363636
9.999844552257738,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.8636363636363636
9.99985403348554,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.8636363636363636
9.999901598173516,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.8636363636363636
9.999958675799087,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.8636363636363636
10.00018698630137,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.000415296803654,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.00098607305936,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.002584246575342,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.00532397260274,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.019022602739726,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.031554109589042,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.038200684931509,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.076556849315068,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.082036301369865,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.153269178082192,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.499844520547946,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
10.999844520547946,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
15.00026712328767,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
19.99968904109589,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9318181818181818
110.00029109589045,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9545454545454546
1010.0003075342466,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9545454545454546
10009.844365068491,44,6.0437952470855304e+16,4.1467440792403845e-07,9.9431073142489e-07,1.0,1.0,1.0,0.9545454545454546
