group,n,qhat
100y-1ky,31,1.4141778689342796e-06
10y-100y,465,1.2948734301963952e-06
1d-1y,310,0.0
1ky-10ky,31,1.4141778689342796e-06
1y-10y,2914,-3.156627763744672e-08
>10ky,31,1.4141778689342796e-06
