group,n,qhat
100y-1ky,180,1.5581426591516894e-06
10y-100y,2700,1.5354140766029549e-06
1d-1y,1800,6.906395187865267e-08
1ky-10ky,180,1.5581426591516894e-06
1y-10y,16920,8.110209642991269e-07
>10ky,180,1.5581426591516894e-06
