group,n,qhat
cooling|100y-1ky,13,3.1014671459198553e-06
cooling|10y-100y,195,3.1014671459198553e-06
cooling|1y-10y,52,3.141399729023459e-06
irradiation|1d-1y,130,2.8628067568104647e-07
irradiation|1y-10y,1170,1.3746011509614371e-06
