group,n,qhat
cooling|100y-1ky,13,0.7864603956034131
cooling|10y-100y,195,0.0836658992793673
cooling|1y-10y,52,0.08347783731422709
irradiation|1d-1y,130,0.09536576906073435
irradiation|1y-10y,1170,0.0809078240708061
