group,n,qhat
100y-1ky,31,2.4947280823374612e-05
10y-100y,465,6.329423023631545e-06
1d-1y,310,0.004207281005565201
1ky-10ky,31,2.510168332141707e-05
1y-10y,2914,0.017287156288645023
>10ky,31,0.0003351804373324499
