group,n,qhat
cooling|100y-1ky,180,0.00010421643054195177
cooling|10y-100y,2700,0.00010401566106353903
cooling|1ky-10ky,180,0.00010421643054195177
cooling|1y-10y,720,0.00010399314154381262
cooling|>10ky,180,0.00010421643054195177
irradiation|1d-1y,1800,2.1646242402300146e-06
irradiation|1y-10y,16200,5.52554807478398e-05
