time_years,n,mae_raw,median_abs_log10_ratio,q90_abs_log10_ratio,frac_within_2x,frac_within_5x,frac_within_10x,coverage_90_cal
0.1,44,6191197705875084.0,1.9728147435526847e-07,1.1077109621616342e-06,1.0,1.0,1.0,1.0
0.2,44,7194551736872588.0,4.151464245908936e-07,1.2197207116747263e-06,1.0,1.0,1.0,0.9545454545454546
0.3,44,6848083471272867.0,4.4287480773779673e-07,9.957482200273956e-07,1.0,1.0,1.0,0.9318181818181818
0.4,44,6765538527352646.0,4.0096894554378833e-07,1.228254092381133e-06,1.0,1.0,1.0,0.9772727272727273
0.5,44,6575108801238854.0,4.178116356119144e-07,1.1557359182315054e-06,1.0,1.0,1.0,0.9545454545454546
0.6,44,7265668033365457.0,5.34762713170628e-07,1.4219310497983516e-06,1.0,1.0,1.0,0.9772727272727273
0.7,44,9213077635798854.0,7.027287688598884e-07,2.0627121766727143e-06,1.0,1.0,1.0,0.9772727272727273
0.8,44,9299509656765906.0,7.15095525984668e-07,1.8716042800943206e-06,1.0,1.0,1.0,0.9545454545454546
0.9,44,1.0912916248937938e+16,7.58183555144248e-07,2.1554235140956805e-06,1.0,1.0,1.0,0.9772727272727273
1.0,44,1.2000465558688116e+16,7.139504285694507e-07,2.775612916521258e-06,1.0,1.0,1.0,0.9545454545454546
1.0997527397260274,44,1.2845554101137036e+16,8.192783835469446e-07,2.296631183687527e-06,1.0,1.0,1.0,1.0
1.1998212328767124,44,1.4486077728227328e+16,1.0888667700217971e-06,3.32623854504243e-06,1.0,1.0,1.0,1.0
1.2998897260273972,44,2.117828596776662e+16,1.8020739845038221e-06,3.7918985829159753e-06,1.0,1.0,1.0,1.0
1.3999582191780822,44,2.218899383689961e+16,1.6403897421262306e-06,5.832766180669487e-06,1.0,1.0,1.0,1.0
1.5000267123287672,44,2.4324898252092508e+16,1.7278610469021673e-06,5.777741841738409e-06,1.0,1.0,1.0,1.0
1.600095205479452,44,2.2950753746646108e+16,1.6407108149067766e-06,5.519913417112236e-06,1.0,1.0,1.0,1.0
1.700163698630137,44,2.4712084190479824e+16,1.6940501220668857e-06,4.7720615787061305e-06,1.0,1.0,1.0,1.0
1.800232191780822,44,2.7205963593476284e+16,1.9837825125428313e-06,4.6120693178099226e-06,1.0,1.0,1.0,1.0
