group,n,qhat
cooling|100y-1ky,180,1.5581426591516894e-06
cooling|10y-100y,2700,1.5354140766029549e-06
cooling|1ky-10ky,180,1.5581426591516894e-06
cooling|1y-10y,720,1.5354140766029549e-06
cooling|>10ky,180,1.5581426591516894e-06
irradiation|1d-1y,1800,6.906395187865267e-08
irradiation|1y-10y,16200,7.771546572982756e-07
