time_bin,coverage_90_cal,uq_width_log10_median,uq_half_width_factor_median,method,target
1d-1y,1.0,0.02100187981572662,1.049546971539039,global,decay_heat_W
1y-10y,0.785904255319149,0.02100187981572653,1.0495469715390389,global,decay_heat_W
10y-100y,1.0,0.02100187981572653,1.0495469715390389,global,decay_heat_W
100y-1ky,1.0,0.020887079961426372,1.0492695747182401,global,decay_heat_W
1d-1y,0.8625,0.00949753013950932,1.0221097477800463,time_bin,decay_heat_W
1y-10y,0.7905585106382979,0.02184993219618125,1.0515984376224974,time_bin,decay_heat_W
10y-100y,0.8458333333333333,0.0011216278603060619,1.0025859814879008,time_bin,decay_heat_W
100y-1ky,0.9375,0.0011846236188074364,1.0027314202515676,time_bin,decay_heat_W
1d-1y,0.8625,0.00949753013950932,1.0221097477800463,phase_time_bin,decay_heat_W
1y-10y,0.7925531914893617,0.02184909685821462,1.051596414941362,phase_time_bin,decay_heat_W
10y-100y,0.8458333333333333,0.0011216278603060619,1.0025859814879008,phase_time_bin,decay_heat_W
100y-1ky,0.9375,0.0011846236188074364,1.0027314202515676,phase_time_bin,decay_heat_W
