mode,picp_all,picp_irr,picp_cool,width_log10_median,d2_violation_rate,d2_median,d2_p95,d2_max,n_samples
none,0.935374149659864,0.9295454545454546,0.9641255605381166,0.0902450829669803,1.0,0.16255952800729645,0.244699016081292,0.2509977646895578,44
after,0.90854119425548,0.9279545454545455,0.8127802690582959,0.0902450829669803,0.0,0.03644397288438839,0.03644397288439194,0.03644397288439194,44
aware,0.9109977324263039,0.9309090909090909,0.8127802690582959,0.09001958929668774,0.0,0.03644397288438839,0.03644397288439194,0.03644397288439194,44
