method,target,grouping,global_picp,tail_picp_1ky_10ky,median_width,mean_width,tail_source,source_run
aci,atoms_H3,global,0.9875,0.9375,1.284755762286733,1.2847650375441069,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_H3.csv
aci,atoms_H3,time_bin,0.9796875,0.4375,1.3592262105347181,1.3731228452114488,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_H3.csv
aci,atoms_Li6,global,0.9359375,0.9375,1.0002492428706062,1.0002751556629987,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li6.csv
aci,atoms_Li6,time_bin,0.9369791666666667,0.9375,1.0002482264155481,1.0002995986100605,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li6.csv
aci,atoms_Li7,global,0.9635416666666666,1.0,1.0000029978469969,1.0000030531435835,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li7.csv
aci,atoms_Li7,time_bin,0.9526041666666667,0.9375,1.0000033230070828,1.0000032027824983,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li7.csv
aci,decay_heat_W,global,0.9505208333333334,1.0,1.0815872792364796,1.0776567514486886,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__global/predictions_test_decay_heat_W.csv
aci,decay_heat_W,time_bin,0.9526041666666667,1.0,1.0815866530651397,1.0739905557888145,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__time_bin/predictions_test_decay_heat_W.csv
enbpi,atoms_H3,global,0.9848958333333333,0.8125,1.2877369202367677,1.292012460452957,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_H3.csv
enbpi,atoms_H3,time_bin,0.9786458333333333,0.5625,1.3592262105347181,1.3846914826776595,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_H3.csv
enbpi,atoms_Li6,global,0.9411458333333333,1.0,1.0002890531389728,1.0002925080593223,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li6.csv
enbpi,atoms_Li6,time_bin,0.9421875,1.0,1.0002619857901993,1.0003109977405296,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li6.csv
enbpi,atoms_Li7,global,0.9682291666666667,1.0,1.000003189252193,1.0000035059742056,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li7.csv
enbpi,atoms_Li7,time_bin,0.959375,0.9375,1.0000033822203265,1.000003367704534,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li7.csv
enbpi,decay_heat_W,global,0.9625,1.0,1.0815998102978714,1.0845682989026775,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__global/predictions_test_decay_heat_W.csv
enbpi,decay_heat_W,time_bin,0.9625,1.0,1.0815990162533562,1.0770456215495159,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__time_bin/predictions_test_decay_heat_W.csv
proposed,atoms_H3,global,0.9661458333333334,0.9375,1.2551551937016614,1.2551551937016614,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_H3.csv
proposed,atoms_H3,time_bin,0.8067708333333333,0.8125,1.2056643876912183,1.2507568421861412,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_H3.csv
proposed,atoms_Li6,global,0.9677083333333333,0.9375,1.000389301657973,1.0003893016579732,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li6.csv
proposed,atoms_Li6,time_bin,0.9677083333333333,1.0,1.0003593000444542,1.0003779471696146,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li6.csv
proposed,atoms_Li7,global,0.9479166666666666,0.875,1.0000033149912397,1.0000033149912397,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/minimal_preset_h3basis_alltargets_20260123T070507Z/predictions_test_atoms_Li7.csv
proposed,atoms_Li7,time_bin,0.9276041666666667,1.0,1.0000032015575278,1.000003515007885,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_grouping_time_bin_h3basis_alltargets_20260210T150741Z/predictions_test_atoms_Li7.csv
proposed,decay_heat_W,global,0.8322916666666667,1.0,1.0495469715390389,1.0494825293399375,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__global/predictions_test_decay_heat_W.csv
proposed,decay_heat_W,time_bin,0.8046875,0.9375,1.0515984376224974,1.0425479125347341,100y-1ky(proxy),/home/gw/ComputeData/CFETR/COOL-PbLi-Burnup/reports/wp2_timeaware_uq/n80_deepsmoke_addon_v1_addon2_mat_v3_absct_recalc_20260118/p3_generality_decay_heat_W_20260213T24873Z_decayheat_j23876550/run__time_bin/predictions_test_decay_heat_W.csv
