target,method,global_picp,tail_picp,median_width
atoms_H3,Proposed CV+,0.935374149659864,0.0,1.1094878266187798
atoms_H3,ACI,0.9040060468631897,1.0,1.093411838031529
atoms_H3,EnbPI,0.9126984126984127,1.0,1.098560816749348
atoms_Li6,Proposed CV+,0.9439269746646796,0.9545454545454546,1.0001312758951255
atoms_Li6,ACI,0.8943740685543964,0.8409090909090909,1.0001143794624194
atoms_Li6,EnbPI,0.8543219076005961,0.9090909090909091,1.0001013933270484
atoms_Li7,Proposed CV+,0.9536140089418778,0.9545454545454546,1.0000018674465263
atoms_Li7,ACI,0.8956780923994039,0.8181818181818182,1.0000015120616774
atoms_Li7,EnbPI,0.8856184798807749,0.9090909090909091,1.0000013616733225
decay_heat_W,Proposed CV+,0.9344262295081968,1.0,1.0486651460093688
decay_heat_W,ACI,0.908532041728763,1.0,1.0362687994745174
decay_heat_W,EnbPI,0.9020119225037257,1.0,1.0376148234606497
