model,pass_count,total_targets,pass_rate,mean_picp,mean_wis,mean_mae_log10,mean_r2_log10,total_time_s
hgbr,15,15,15/15,0.9787788952308859,1.0760368097899984,0.18683578694360659,0.7273499618260769,142.32625603675842
xgboost,14,15,14/15,0.9727338531593019,1.0928154799575462,0.18448680338196255,0.6449419306754858,29.226763486862183
rf,13,15,13/15,0.9591709350296392,1.1038869021734237,0.1873819463917345,0.5392231126409452,384.225576877594
mlp,13,15,13/15,0.9735761109102249,1.6312436724207813,0.23024714712053487,-558858.7823568698,877.3896734714508
lightgbm,11,15,11/15,0.9636985069459698,1.1003074487054245,0.1875535447836367,0.6640133203712819,31.7322518825531
gp,10,15,10/15,0.9603656166888015,2.3750227636513577,0.48568040756152736,0.5121944869404034,1519.301168680191
lstm,8,15,8/15,0.9288426437528702,2.8754582975785214,0.44572349976075426,-25115.398661391962,1659.1130158901215
