time_years,n,mae_raw,median_abs_log10_ratio,q90_abs_log10_ratio,frac_within_2x,frac_within_5x,frac_within_10x,coverage_90_cal,time_bin
0.1,44,0.0046067914768907,0.0013327216154953,0.0038760412792805,1.0,1.0,1.0,0.9318181818181818,1d--1y
0.2,44,0.0046060449078877,0.0013297870553009,0.00387510136124,1.0,1.0,1.0,0.9318181818181818,1d--1y
0.3,44,0.0046055409786425,0.0013277827107363,0.0038744578860944,1.0,1.0,1.0,0.9318181818181818,1d--1y
0.4,44,0.0046051430634492,0.0013262557563668,0.0038739466418111,1.0,1.0,1.0,0.9318181818181818,1d--1y
0.5,44,0.0046048234006144,0.001325076175533,0.0038735815191896,1.0,1.0,1.0,0.9318181818181818,1d--1y
0.6,44,0.0046039331625089,0.0013187798852165,0.0038732798844659,1.0,1.0,1.0,0.9318181818181818,1d--1y
0.7,44,0.0046037339241923,0.0013180048125966,0.0038730030469835,1.0,1.0,1.0,0.9318181818181818,1d--1y
0.8,44,0.0046036018008797,0.0013173472741052,0.0038727979204953,1.0,1.0,1.0,0.9318181818181818,1d--1y
0.9,44,0.0047318362696061,0.0013168033291779,0.0038726244129819,1.0,1.0,1.0,0.9318181818181818,1d--1y
1.0,44,0.0043639431930709,0.0012992725140346,0.0037953334540763,1.0,1.0,1.0,0.9545454545454546,1d--1y
1.0997527397260274,44,0.0126804445557385,0.0032862355629361,0.0080644533924963,1.0,1.0,1.0,1.0,1y--10y
1.1998212328767124,44,0.01209983756252,0.0032843077874452,0.0080650906455393,1.0,1.0,1.0,1.0,1y--10y
1.2998897260273972,44,0.0122332174157581,0.0032829624267102,0.0080654271112376,1.0,1.0,1.0,1.0,1y--10y
1.3999582191780822,44,0.0122340267921793,0.0032819029957033,0.0080655898591869,1.0,1.0,1.0,1.0,1y--10y
1.5000267123287672,44,0.0122321356320162,0.0032808960167328,0.0080657690932595,1.0,1.0,1.0,1.0,1y--10y
1.600095205479452,44,0.0122324402782187,0.0032802221047839,0.008065847910095,1.0,1.0,1.0,1.0,1y--10y
1.700163698630137,44,0.0122329316433109,0.0032796420725118,0.0080659883671265,1.0,1.0,1.0,1.0,1y--10y
1.800232191780822,44,0.0122331136371187,0.0032791602922899,0.0080662570291547,1.0,1.0,1.0,1.0,1y--10y
1.9003006849315067,44,0.0122334408520791,0.0032787514080508,0.0080663727692249,1.0,1.0,1.0,1.0,1y--10y
2.000369178082192,44,0.0122337499034156,0.0032783957809402,0.0080663681051786,1.0,1.0,1.0,1.0,1y--10y
2.1004376712328767,44,0.0122339971479952,0.003278082207233,0.0080661963395825,1.0,1.0,1.0,1.0,1y--10y
2.1995054794520548,44,0.0122343070384013,0.0032777819011423,0.0080661659625126,1.0,1.0,1.0,1.0,1y--10y
2.29957397260274,44,0.0122325200190464,0.0032777106360767,0.0080662255831438,1.0,1.0,1.0,1.0,1y--10y
2.3996424657534248,44,0.0122325353386635,0.0032774851952078,0.0080661904551553,1.0,1.0,1.0,1.0,1y--10y
2.4997109589041093,44,0.0122331174389078,0.0032770748667928,0.0080662622515651,1.0,1.0,1.0,1.0,1y--10y
2.5997794520547943,44,0.012233273358428,0.003276879716473,0.0080664656832311,1.0,1.0,1.0,1.0,1y--10y
2.69984794520548,30,0.0113107420839516,0.0031235220016983,0.0079128129599301,1.0,1.0,1.0,1.0,1y--10y
