time_bin,coverage_90_cal,uq_width_log10_median,uq_half_width_factor_median,method,target,batch
1d-1y,0.85,0.0986974274913699,1.2551551937016614,global,atoms_H3,n80
1y-10y,0.9740691489361702,0.0986974274913699,1.2551551937016614,global,atoms_H3,n80
10y-100y,0.9958333333333333,0.0986974274913699,1.2551551937016614,global,atoms_H3,n80
100y-1ky,0.9375,0.0986974274913699,1.2551551937016614,global,atoms_H3,n80
1d-1y,1.0,0.00016903866047258452,1.000389301657973,global,atoms_Li6,n80
1y-10y,0.9793882978723404,0.00016903866047256042,1.000389301657973,global,atoms_Li6,n80
10y-100y,0.875,0.00016903866047256042,1.000389301657973,global,atoms_Li6,n80
100y-1ky,0.9375,0.00016903866047256042,1.000389301657973,global,atoms_Li6,n80
1d-1y,1.0,1.4396800167359595e-06,1.0000033149912397,global,atoms_Li7,n80
1y-10y,0.9547872340425532,1.4396800167600675e-06,1.0000033149912397,global,atoms_Li7,n80
10y-100y,0.875,1.4396800167118515e-06,1.0000033149912397,global,atoms_Li7,n80
100y-1ky,0.875,1.4396800167600675e-06,1.0000033149912397,global,atoms_Li7,n80
1d-1y,0.85,0.09536576906073442,1.2455632013885571,time_bin,atoms_H3,n80
1y-10y,0.7958776595744681,0.08122643312899316,1.2056643876912183,time_bin,atoms_H3,n80
10y-100y,0.8458333333333333,0.08366589927936734,1.2124557550370567,time_bin,atoms_H3,n80
100y-1ky,0.8125,0.7864603956034131,6.115900279921042,time_bin,atoms_H3,n80
1d-1y,0.875,5.3955002776457765e-06,1.0000124236756818,time_bin,atoms_Li6,n80
1y-10y,0.9720744680851063,0.00015601400041350078,1.0003593000444542,time_bin,atoms_Li6,n80
10y-100y,1.0,0.00031082240782719187,1.0007159512136383,time_bin,atoms_Li6,n80
100y-1ky,1.0,0.00031082240782719187,1.0007159512136383,time_bin,atoms_Li6,n80
1d-1y,0.88125,2.8628067576677764e-07,1.0000006591858337,time_bin,atoms_Li7,n80
1y-10y,0.9202127659574468,1.3904165420514745e-06,1.0000032015575278,time_bin,atoms_Li7,n80
10y-100y,1.0,3.1014671459405378e-06,1.0000071414175165,time_bin,atoms_Li7,n80
100y-1ky,1.0,3.1014671459405378e-06,1.0000071414175165,time_bin,atoms_Li7,n80
1d-1y,0.85,0.09536576906073442,1.2455632013885571,phase_time_bin,atoms_H3,n80
1y-10y,0.7972074468085106,0.08090782407080611,1.2047802071642533,phase_time_bin,atoms_H3,n80
10y-100y,0.8458333333333333,0.08366589927936734,1.2124557550370567,phase_time_bin,atoms_H3,n80
100y-1ky,0.8125,0.7864603956034131,6.115900279921042,phase_time_bin,atoms_H3,n80
1d-1y,0.875,5.3955002776457765e-06,1.0000124236756818,phase_time_bin,atoms_Li6,n80
1y-10y,0.9753989361702128,0.00014690732677614357,1.000338323839291,phase_time_bin,atoms_Li6,n80
10y-100y,1.0,0.00031082240782719187,1.0007159512136383,phase_time_bin,atoms_Li6,n80
100y-1ky,1.0,0.00031082240782719187,1.0007159512136383,phase_time_bin,atoms_Li6,n80
1d-1y,0.88125,2.8628067576677764e-07,1.0000006591858337,phase_time_bin,atoms_Li7,n80
1y-10y,0.9235372340425532,1.3746011509683807e-06,1.000003165141128,phase_time_bin,atoms_Li7,n80
10y-100y,1.0,3.1014671459405378e-06,1.0000071414175165,phase_time_bin,atoms_Li7,n80
100y-1ky,1.0,3.1014671459405378e-06,1.0000071414175165,phase_time_bin,atoms_Li7,n80
