target,method,global_picp,tail_picp,median_width
atoms_H3,Proposed CV+,0.9746787603930461,0.6666666666666666,1.1088360335132732
atoms_H3,ACI,0.9499244142101285,1.0,1.1011370307255066
atoms_H3,EnbPI,0.9499244142101285,1.0,1.1000769637275432
atoms_Li6,Proposed CV+,0.9968330849478391,1.0,1.0022803968552378
atoms_Li6,ACI,0.9450447093889717,0.9772727272727273,1.0012947094007545
atoms_Li6,EnbPI,0.944672131147541,1.0,1.0013588902669168
atoms_Li7,Proposed CV+,1.0,1.0,1.0000271318426637
atoms_Li7,ACI,0.9232488822652757,1.0,1.0000132005969586
atoms_Li7,EnbPI,0.9236214605067065,1.0,1.000013618777894
decay_heat_W,Proposed CV+,0.9755961251862891,0.9772727272727273,1.0515171259984284
decay_heat_W,ACI,0.9470938897168405,1.0,1.036116208295196
decay_heat_W,EnbPI,0.9402011922503726,0.9090909090909091,1.036071185553913
