method,target,grouping,global_picp,tail_picp_1ky_10ky,median_width,mean_width,tail_source,source_run,dataset
aci,atoms_H3,global,0.9665532879818595,0.0,1.1685071581245794,2.675089288180567,1ky-10ky,d224_cvplus_global_H3,D224
enbpi,atoms_H3,global,0.9803476946334089,0.0,1.1685071581245794,1.0551722190304256e+16,1ky-10ky,d224_cvplus_global_H3,D224
proposed,atoms_H3,global,0.9030612244897959,0.0,1.1140133868640256,1.1140133868640254,1ky-10ky,d224_cvplus_global_H3,D224
aci,atoms_H3,time_bin,0.9846938775510204,1.0,1.166929235633221,1.1782005054970357,1ky-10ky,d224_cvplus_smoke,D224
enbpi,atoms_H3,time_bin,0.990551776266062,1.0,1.1682663316260304,1.1910992965567895,1ky-10ky,d224_cvplus_smoke,D224
proposed,atoms_H3,time_bin,0.935374149659864,0.0,1.1094878266187798,1.1136240250912635,1ky-10ky,d224_cvplus_smoke,D224
aci,atoms_Li6,time_bin,0.9614381520119225,0.9772727272727273,1.0001464145767576,1.0001656727679986,1ky-10ky,d224_cvplus_Li6,D224
enbpi,atoms_Li6,time_bin,0.9765275707898659,1.0,1.000186747900836,1.0001992652570224,1ky-10ky,d224_cvplus_Li6,D224
proposed,atoms_Li6,time_bin,0.9439269746646796,0.9545454545454546,1.0001312758951255,1.000136907938324,1ky-10ky,d224_cvplus_Li6,D224
aci,atoms_Li7,time_bin,0.9722429210134128,0.9545454545454546,1.000001883949531,1.0000025484755293,1ky-10ky,d224_cvplus_Li7,D224
enbpi,atoms_Li7,time_bin,0.9850968703427719,1.0,1.0000022925490422,1.0000031958155249,1ky-10ky,d224_cvplus_Li7,D224
proposed,atoms_Li7,time_bin,0.9536140089418778,0.9545454545454546,1.0000018674465263,1.0000019747945454,1ky-10ky,d224_cvplus_Li7,D224
aci,decay_heat_W,time_bin,0.9724292101341282,1.0,1.0636523751015552,1.0492278808322661,1ky-10ky,d224_cvplus_decay_heat,D224
enbpi,decay_heat_W,time_bin,0.9752235469448585,1.0,1.0636867082823016,1.0743458993370603,1ky-10ky,d224_cvplus_decay_heat,D224
proposed,decay_heat_W,time_bin,0.9344262295081968,1.0,1.0486651460093688,1.0388787575386513,1ky-10ky,d224_cvplus_decay_heat,D224
