group,n,qhat
cooling|100y-1ky,13,1.5751201954646632
cooling|10y-100y,195,0.4605170786981496
cooling|1y-10y,52,0.08347011634769785
irradiation|1d-1y,130,0.10181279118827291
irradiation|1y-10y,1170,0.08059884908943715
